HostName,IPAddress,Models,Vendors
MTYAESH-R01J-DK-EG,10.45.3.18,mx104,Juniper
DERAW-R01J-ASN-EG,10.45.3.2,mx104,Juniper
GZRTSHK-R01H-SHR-EG,10.45.3.237,CX600-X1-M4,Huawei
KAWTHR-R01J-SHG-EG,10.45.3.21,mx104,Juniper
MDENTY-R04J-C-EG,10.45.3.249,mx104,Juniper
MNSREST-R30C-DK-EG,10.45.3.240,ASR9010,Cisco
ABASDT-R01J-DT-EG,10.45.3.245,mx104,Juniper
CITYCNTR-S02C-C-EG,10.45.3.238,ME360x_t,Cisco
DSHTUT-R01J-BNS-EG,10.45.3.20,mx104,Juniper
SHAGAB-S01C-LX-EG,10.45.3.23,ME360x_t,Cisco
SARBYOM-R01J-IS-EG,10.45.3.250,mx104,Juniper
KFRSRNG-R01J-DK-EG,10.45.3.22,mx104,Juniper
FAYED-R01J-IS-EG,10.45.3.251,mx104,Juniper
SNDNHR-R01H-SHR-EG,10.45.3.254,CX600-X1-M4,Huawei
QATTAMIA-S02C-C-EG,10.45.3.28,ME360x_t,Cisco
MSAHBR-R01J-SHR-EG,10.45.3.29,mx104,Juniper
KHRSHD-R01C-ALX-EG,10.45.3.25,ME360x_t,Cisco
NOBREYA-R01J-BH-EG,10.45.3.30,mx104,Juniper
ARISH-R02J-SIN-EG,10.45.3.31,mx104,Juniper
AUTO-R36C-ALX-EG,10.45.3.27,CRS-16/S-B,Cisco
AUTO-R34C-ALX-EG,10.45.3.26,ASR9010,Cisco
MDENTY-R01J-C-EG,10.45.3.39,mx104,Juniper
BAHEEG-R01J-ALX-EG,10.45.3.36,mx104,Juniper
OSEEM-R02J-C-EG,10.45.3.37,mx104,Juniper
FSHVLG-R01J-BH-EG,10.45.3.38,mx104,Juniper
ALMAZA-R07C-C-EG,10.45.3.50,ASR1000,Cisco
HELWAN-R04J-C-EG,10.45.3.32,mx104,Juniper
RAMSIS-R70C-C-EG,10.45.3.40,ASR1002,Cisco
ALMAZA-R03J-C-EG,10.45.3.47,mx104,Juniper
TFHNASH-R01J-DK-EG,10.45.3.33,mx104,Juniper
BERABD-R01J-SIN-EG,10.45.3.58,mx104,Juniper
KFRRBE-R01J-MNF-EG,10.45.3.57,mx104,Juniper
ASHMNT-R01J-BNS-EG,10.45.3.60,mx104,Juniper
GRNBCH-R01J-MT-EG,10.45.3.61,mx104,Juniper
ALMAZA-R09C-C-EG,10.45.3.65,ASR1000,Cisco
BNIEBID-R01J-MN-EG,10.45.3.62,mx104,Juniper
BLSHON-R01J-SHR-EG,10.45.3.97,mx104,Juniper
MDENTY-R02J-C-EG,10.45.3.98,mx104,Juniper
SAFTSN-R01J-BNS-EG,10.45.3.59,mx104,Juniper
BENIMSA-R01J-MN-EG,10.45.3.99,mx104,Juniper
GHZALY-R01J-SHR-EG,10.45.3.96,mx104,Juniper
TATOUN-R01J-FYM-EG,10.45.4.10,mx104,Juniper
HADIN-R01J-BH-EG,10.45.4.101,mx104,Juniper
ZOWEIR-R01J-MNF-EG,10.45.4.102,mx104,Juniper
TANBSH-R01J-MNF-EG,10.45.4.103,mx104,Juniper
BEBA-R02J-BNS-EG,10.45.4.105,mx104,Juniper
MHLTROH-R01J-GH-EG,10.45.4.104,mx104,Juniper
KFRSHK-R06J-KFS-EG,10.45.4.108,mx104,Juniper
WAQED-R01J-BH-EG,10.45.4.100,mx104,Juniper
FOSTAAT-R02J-C-EG,10.45.4.106,mx104,Juniper
MTMAZAH-R02J-DK-EG,10.45.4.109,mx104,Juniper
PALMHLS-R02J-C-EG,10.45.4.107,mx104,Juniper
BTASH2-R02J-ALX-EG,10.45.4.111,mx104,Juniper
AHMDORB-R02J-IS-EG,10.45.4.110,mx104,Juniper
QNTRAW-R01J-IS-EG,10.45.4.112,mx104,Juniper
SNTRIS-R01J-MNF-EG,10.45.4.113,mx104,Juniper
MNSHGM-R01J-FYM-EG,10.45.4.11,mx104,Juniper
TURAH-R01J-C-EG,10.45.4.114,mx104,Juniper
SHONY-R01J-GH-EG,10.45.4.116,mx104,Juniper
MASAED-R02J-SIN-EG,10.45.4.119,mx104,Juniper
EZBTNHD-R01J-DT-EG,10.45.4.117,mx104,Juniper
BNSUF2-R02J-BNS-EG,10.45.4.12,mx104,Juniper
SHAWAMY-R01J-DK-EG,10.45.4.120,mx104,Juniper
BARAGIL-R02J-GZ-EG,10.45.4.122,mx104,Juniper
